dep_lat,dep_lng,arr_lat,arr_lng,distance,hour,dayofweek,car_type,weight,duration,profit_per_min
37.5248503765506,126.86313884125,37.1448480968771,128.604174157478,215.0,4,4,5t,4.0,211,1592.4170616113745
37.7662604991973,128.910205027288,35.4268243579089,129.058037716198,424.5,5,5,5t,3.2,282,1531.9148936170213
34.8013402206318,126.42215391606,35.858839539287,128.542065537316,272.8,18,3,5t,3.4,197,1421.3197969543148
37.5239860810372,126.87176060138,36.5510607183051,126.775835110722,128.9,23,4,2.5t,2.1,120,1800.0
36.3644965574434,127.444960839992,37.6183715022007,126.715582676771,198.6,4,1,5t,3.0,194,1298.9690721649486
37.3925370988564,126.938815621852,35.069261641968,128.077631197486,330.8,4,3,2.5t,1.8,237,1417.7215189873418
37.6071251315282,127.023850789146,37.6503489639417,127.078211536576,7.9,12,2,1.4t,1.4,35,1428.5714285714287
37.460759044722,126.697044727226,37.4838502539028,126.930227423295,34.0,9,5,5t,4.6,67,1791.044776119403
37.4941599409207,127.010007652117,37.29538844844,127.038977665052,27.3,2,0,5t,3.4,53,2264.1509433962265
36.8307242625564,127.127599773163,35.8341951102203,128.698288828137,223.2,21,0,2.5t,1.6,158,1582.2784810126582
36.6771727642333,129.443307573941,37.8774857085028,127.726071267564,328.5,20,3,5t,3.0,217,1474.6543778801843
37.4903477457082,126.498468520599,35.1919010890716,128.081872351961,358.4,15,3,5t,4.2,252,1269.8412698412699
36.772868855802,127.009274637147,37.4516586462048,126.704077149008,99.9,9,1,1.4t,1.3,141,709.2198581560284
35.4144872547384,127.875514249428,35.8363842613474,127.101328640888,120.3,0,3,2.5t,2.0,94,2297.872340425532
35.1884382684525,126.835844789949,37.9053084277838,127.053430950564,350.7,3,2,1t,1.0,244,983.6065573770492
36.4199244759338,128.150704504557,37.4338773557456,127.170151668937,177.8,10,4,1t,0.3,126,1031.7460317460318
35.2316024922626,128.50161940059,37.4981746947015,126.725244419226,365.3,6,1,5t,4.1,258,1240.3100775193798
37.1006751770944,129.364042440185,35.869167998215,128.567032373388,222.5,1,4,5t,4.0,173,1942.1965317919075
35.8696771784226,128.6035559121,36.1669846053771,127.778235310014,110.2,1,3,5t,2.8,84,3000.0
37.7437656287944,127.056287248724,37.5280834235202,127.12182051874,35.5,19,6,5t,4.0,43,2790.6976744186045
37.4910240474992,127.013851820671,37.5681586475564,126.933057907265,15.9,12,5,2.5t,2.2,59,1186.4406779661017
37.4412430961832,126.738526909155,37.349687795199,127.106994839134,46.5,5,2,5t,3.0,49,2938.7755102040815
37.4841932860584,126.931335148846,35.2770279106019,128.407710157642,357.1,19,6,5t,3.3,263,1216.7300380228137
35.338620525901,129.027171393061,35.1632198397722,129.155512661002,32.3,13,1,2.5t,1.9,49,1836.734693877551
36.8963389775496,126.632704253129,37.4121779346073,127.129855867991,98.0,2,5,2.5t,1.9,104,1384.6153846153845
37.4515826431439,126.728726308733,35.9265129562821,128.54717894452,291.6,4,6,1t,0.3,200,1020.0
37.312716267774,127.087776267668,37.545859566843,127.138687467093,31.9,18,3,5t,4.4,54,2222.222222222222
37.7236163820912,126.73973797464,37.4816722932117,126.953599359334,43.5,20,5,5t,4.9,77,1558.4415584415585
37.4522513773599,126.903934971203,37.6618315958144,126.767550758162,34.5,20,5,5t,3.6,57,2105.2631578947367
37.5247833010923,126.875820494267,36.0113426501549,126.695887694783,195.3,18,5,5t,3.4,151,1390.728476821192
37.2563029575333,127.03363693145,37.4439980039576,126.703259785735,48.2,15,4,2.5t,2.2,77,1168.8311688311687
37.5222057944385,126.741830622017,35.2645493567018,128.620539639877,374.6,3,2,1.4t,1.1,267,943.8202247191011
37.1875751030338,126.653991785773,37.7086711837015,127.119042215835,105.3,3,5,5t,3.7,120,2100.0
37.3836779989733,127.121993013319,34.8335213669911,126.368045275211,335.1,10,5,5t,4.9,234,1367.5213675213674
35.8609224581811,127.123779701189,37.1386028913159,127.196319876458,164.1,4,1,5t,3.1,118,2135.593220338983
37.1215576211841,127.110622518763,37.3441937996192,127.179519243052,42.3,4,4,5t,4.2,42,3428.5714285714284
37.5561886718599,127.087913927159,35.5073003735894,126.788539066635,273.7,18,4,5t,3.4,191,1465.9685863874345
37.4061190281817,126.972135638751,37.3471297489815,127.95771758361,101.6,12,0,5t,3.2,85,2470.5882352941176
37.4884591536995,127.99147212158,37.4748671243465,127.052489921447,112.7,19,6,2.5t,2.1,101,1782.1782178217823
37.2166142373652,126.729547403354,35.9621688636776,126.990632628132,175.3,22,2,5t,3.1,132,1909.090909090909
35.2047171869599,129.004502010715,37.4718030839062,127.141184518357,373.1,17,5,5t,3.1,248,1290.3225806451612
37.4960933791026,126.706514130706,36.7998067953276,127.151012081591,115.2,23,5,1t,0.6,111,1405.4054054054054
37.4963456597799,126.678807640677,36.4851887362104,127.300920844478,179.6,12,6,5t,3.0,153,1372.549019607843
36.9990957684656,127.169267863338,37.6097435828879,127.135612200665,90.6,10,4,5t,4.6,78,1923.076923076923
37.4821517534789,126.898933252251,37.500084394673,127.032943043314,16.8,18,4,5t,4.8,54,1666.6666666666667
37.3762559546715,126.960901494817,35.1751583390907,129.124504748223,391.9,18,5,5t,4.3,268,1194.0298507462687
35.1730498668626,126.889500678582,35.8318115869007,127.140446365844,116.1,18,5,1t,0.5,88,1477.2727272727273
38.1066133536197,127.708619929877,36.3267327968907,127.433954319359,264.8,4,6,2.5t,2.2,189,1587.3015873015872
34.7694433648612,127.697607736265,37.4057102907641,126.910872939194,356.2,6,1,2.5t,1.9,237,1181.434599156118
37.3928972436281,126.938307150857,36.1210708755835,128.380953834879,240.2,3,2,1.4t,1.1,181,1193.3701657458564
37.2146359058964,127.041977965108,37.5059241099778,127.028319878398,42.4,13,0,1t,0.9,84,714.2857142857143
36.478574831255,127.289758881822,36.900731361102,126.636957965188,102.1,11,3,5t,2.9,77,2727.2727272727275
37.3311777901797,126.789989620834,35.3256878910783,128.999655733726,381.9,11,5,5t,4.8,263,1216.7300380228137
37.4979986279603,126.997546020711,35.1195150810046,129.110939120045,404.0,23,3,5t,3.5,286,1510.4895104895104
37.4810641390928,127.12643617532,36.3565991806009,127.341904030489,154.8,16,1,5t,2.7,138,1521.7391304347825
37.3927881378268,127.112081378021,35.5603546204674,129.309983246698,351.7,13,2,2.5t,1.7,244,1147.5409836065573
37.3187327058042,126.834226072508,37.503557461038,127.009714859373,39.6,1,6,5t,4.2,80,1800.0
36.928267762293,127.037892044154,35.2387777753399,128.582831885266,302.0,20,5,5t,3.9,207,1545.8937198067633
36.3280345358783,127.435320269838,36.6632889278077,129.115413991627,225.3,18,4,2.5t,2.5,165,1515.1515151515152
37.6880979928262,127.211772343187,35.1922169876952,126.894316936763,329.7,12,2,2.5t,2.1,230,1217.391304347826
37.474462556452,127.050454718357,37.544630918154,127.054666147298,15.2,15,1,5t,4.3,42,2142.8571428571427
37.6326508105806,126.826303323451,34.7375982002711,127.716044711033,398.8,1,0,5t,4.6,293,1310.580204778157
36.9388645441941,129.001280479775,37.6566213710861,127.14361894976,236.2,9,2,2.5t,1.8,183,1366.120218579235
37.5475200540195,126.923570814637,37.4670801741504,126.65609890729,43.7,19,4,5t,4.9,71,1690.1408450704225
35.2338752913355,129.017729406704,35.8752193715441,128.623663893066,99.4,10,3,5t,4.9,84,1785.7142857142858
37.6631025715563,126.767852803132,37.2593980106355,127.008465941504,70.1,16,4,1t,0.9,102,882.3529411764706
35.2382292411731,128.503587035046,37.0381665457355,127.085233686554,297.4,9,4,2.5t,1.5,202,1237.6237623762377
37.550508150368,127.048434999565,37.9965213794435,126.918758255454,78.7,3,5,1t,0.9,85,1270.5882352941176
37.3971585793738,126.922187848742,37.4954091171656,127.983512825943,115.4,9,1,2.5t,1.8,94,1914.8936170212767
